"gender","lang","ses","minor","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
"female","spanish","low","yes","public","general",-1.78,0.56,1,"prof1",28.3,46.3,42.8,44.4,50.6
"male","english","middle","yes","public","academic",0.24,-0.35,1,"operative",30.5,35.9,36.9,33.6,40.6
"male","english","middle","no","public","vocation",-1.28,0.34,0.33,"prof1",31,35.9,46.1,39,45.6
"female","spanish","low","yes","public","vocation",0.22,-0.76,1,"service",31,41.1,49.2,33.6,35.6
"female","spanish","middle","yes","public","academic",1.12,-0.74,0.67,"service",31,41.1,36,36.9,45.6
"male","english","middle","no","public","vocation",-0.86,1.19,0.33,"operative",33.6,28.1,31.8,39.6,35.6
"female","english","low","yes","public","vocation",-0.23,0.44,0.33,"school",33.6,35.2,40.9,29.3,25.7
"female","english","low","no","public","general",0.04,-0.47,0.67,"clerical",33.6,59.3,44.7,47.1,45.6
"female","english","middle","no","private","academic",0.47,0.34,0.67,"prof2",33.6,43,41,49.8,35.6
"female","english","high","no","public","general",0.32,0.9,0.67,"prof2",33.6,51.5,41.9,49.8,50.6
"female","english","middle","no","public","vocation",-0.59,0.03,0.33,"school",33.6,54.1,41,41.7,50.6
"male","english","middle","no","public","general",-0.84,-0.57,0.33,"craftsman",33.6,33.3,41,36.3,35.6
"female","spanish","low","yes","public","vocation",0.29,0.88,0.67,"prof2",33.6,43.7,40.2,39,40.6
"male","english","middle","no","public","vocation",0.66,0.34,0.33,"craftsman",33.6,38.5,42.9,47.1,45.6
"female","english","low","no","public","vocation",-0.84,-0.18,0,"clerical",33.6,46.3,38.4,36.3,45.6
"female","english","high","no","public","academic",-0.6,0.28,1,"prof1",33.6,41.1,42.9,41.7,50.6
"male","english","high","no","public","vocation",-1.5,0.03,0.67,"prof1",33.6,48.9,38.6,42.3,55.6
"male","english","middle","yes","public","vocation",-0.38,0.56,1,"craftsman",33.6,36.5,45.7,39,30.6
"female","spanish","high","yes","public","vocation",0.47,-0.09,0.33,"prof1",33.6,33.9,38.8,39.6,30.6
"male","english","middle","no","public","general",-0.03,-0.16,0,"manager",33.6,43.7,42.6,47.1,35.6
"male","spanish","middle","yes","public","academic",-0.21,-1.38,0,"prof1",34.2,46.3,44.5,39,35.6
"female","english","low","no","public","vocation",-1.33,-0.6,0.33,"clerical",34.7,35.2,40.2,50.9,33.1
"female","spanish","low","yes","public","vocation",-0.22,0.32,0.33,"clerical",35.2,38.5,39.9,34.7,40.6
"female","english","low","yes","public","general",1.16,0.59,1,"prof2",36.3,45,44.3,39,40.6
"male","english","low","no","public","general",-0.6,0.56,0.33,"craftsman",36.3,43.7,44.3,47.1,30.6
"female","english","low","yes","public","general",-1.76,-0.93,0.67,"manager",36.3,38.5,36.4,36.3,50.6
"male","spanish","middle","yes","public","vocation",-0.59,1.19,0.67,"manager",36.3,36.5,35.1,33.6,35.6
"male","english","middle","no","public","academic",-1.33,0.03,1,"technical",36.3,28.1,53.7,33.6,25.7
"female","spanish","middle","yes","public","academic",-0.9,0.03,0.67,"homemaker",36.3,44.3,36.1,33.6,40.6
"female","english","middle","no","public","academic",-0.16,-0.47,0.67,"prof1",36.3,61.9,52.2,39,45.6
"male","english","low","yes","public","general",-0.68,0.32,0.67,"prof1",36.3,44.3,34.4,47.1,45.6
"female","mandarin","low","yes","public","vocation",-0.65,-1.17,0,"operative",36.3,30.7,45.9,36.3,40.6
"female","english","high","no","private","general",0.68,0.32,1,"service",36.3,56.7,41.9,49.8,40.6
"female","english","middle","no","public","vocation",-0.84,0.03,0,"prof1",36.3,59.3,47.7,39,55.6
"male","english","middle","yes","public","academic",0.46,0.94,0.33,"laborer",36.3,30.7,44.8,39.6,40.6
"male","spanish","low","yes","public","vocation",-1.55,0.03,0,"prof1",36.3,41.1,43.5,33.6,40.6
"male","english","middle","yes","public","academic",-1.14,-0.06,1,"manager",36.3,46.3,36.9,41.7,35.6
"male","english","low","no","public","vocation",-0.86,0.28,1,"farmer",36.3,48.9,54.4,60.7,35.6
"female","spanish","middle","yes","public","vocation",0.22,-0.28,0,"clerical",36.3,48.9,39.5,41.7,45.6
"female","english","middle","no","public","vocation",1.36,0.87,1,"homemaker",36.3,43.7,37.2,41.7,40.6
"male","english","middle","yes","public","vocation",-2.23,1.19,1,"operative",36.3,38.5,39.3,39,45.6
"female","english","low","no","public","vocation",0.3,0.03,0.67,"clerical",36.8,59.3,40.7,49.8,35.6
"male","english","low","no","public","vocation",-0.82,0.63,1,"protective",36.8,36.5,41.5,33.1,31.9
"male","spanish","middle","yes","public","vocation",-1.78,0.56,0.33,"operative",37.3,43.7,45.4,39,45.6
"female","english","low","yes","public","vocation",-1.33,-0.26,0.67,"service",38.4,37.2,33.4,30.9,36.9
"female","english","low","yes","public","vocation",0.1,1.19,1,"service",38.9,35.9,46.8,39,40.6
"female","english","middle","yes","public","vocation",0.57,-2.62,0,"proprietor",38.9,28.1,38.4,44.4,35.6
"female","english","middle","no","public","academic",0.2,-0.47,0.33,"proprietor",38.9,54.1,53.7,52.6,40.6
"male","english","middle","no","public","general",0.2,-0.47,0.33,"farmer",38.9,38.5,53,52.6,50.6
"female","english","low","no","public","general",-0.44,-0.47,0.33,"prof1",38.9,46.3,41.9,41.7,45.6
"male","english","middle","no","public","general",1.13,0.03,1,"manager",38.9,54.1,47.5,49.8,40.6
"male","english","middle","no","public","vocation",-1.33,0.03,0.33,"laborer",38.9,30.7,40.4,39,50.6
"male","english","low","no","public","vocation",-1.1,0.03,1,"operative",38.9,38.5,42.8,41.7,40.6
"female","spanish","low","yes","public","academic",-0.43,0.13,0.33,"military",38.9,44.3,51.6,43.9,48.1
"female","spanish","low","yes","public","vocation",-0.6,0.32,1,"clerical",38.9,56.7,41.2,33.6,55.6
"female","english","low","no","public","general",-1.1,-0.28,0.67,"homemaker",38.9,41.1,45.9,47.1,45.6
"male","spanish","middle","yes","public","vocation",0.21,0.94,0,"protective",38.9,48.9,41.8,58.5,45.6
"female","english","middle","no","public","vocation",0.06,-1.07,0,"prof1",38.9,48.9,45.2,44.4,50.6
"female","english","middle","no","public","vocation",0.31,0.63,1,"clerical",38.9,56.7,46.3,58,55.6
"female","english","middle","no","public","vocation",0.02,-2.03,0.67,"clerical",38.9,59.3,39.5,39,50.6
"female","spanish","middle","yes","public","vocation",0.06,0.03,0,"service",38.9,41.1,32.7,41.7,40.6
"male","english","middle","no","public","vocation",-0.45,-0.26,0,"craftsman",38.9,35.9,44.2,55.3,55.6
"female","mandarin","middle","yes","public","general",0.06,0.9,0.67,"prof1",38.9,52.8,54.4,49.8,40.6
"male","english","middle","yes","public","vocation",-0.6,-1.43,1,"prof2",38.9,51.5,38.6,39,35.6
