ID,PRICEPTM,DISTANCE,WEIGHT,PCTLOAD,ORIGIN,MARKET,DEREG,CARRIER,PRODUCT
1,31344,3.6,3,12.5,MIA     ,LARGE   ,YES     ,A       ,100
2,225676,0.25,0.75,3.1,MIA     ,LARGE   ,YES     ,A       ,100
3,172973,0.25,3,12.5,MIA     ,LARGE   ,YES     ,A       ,100
4,47167,2.6,0.25,1,MIA     ,LARGE   ,YES     ,A       ,100
5,30795,2.6,15,62.5,MIA     ,LARGE   ,YES     ,A       ,100
6,51126,1.5,3,12.5,MIA     ,SMALL   ,YES     ,A       ,100
7,22347,4.8,15,62.5,MIA     ,LARGE   ,YES     ,A       ,100
8,37725,1.8,15,62.5,MIA     ,SMALL   ,YES     ,A       ,100
9,26331,3.4,7.5,31.3,JAX     ,LARGE   ,YES     ,A       ,100
10,22357,3.4,24,100,JAX     ,LARGE   ,YES     ,A       ,100
11,28322,3,7.5,31.3,JAX     ,SMALL   ,YES     ,A       ,100
12,28322,3,15,62.5,JAX     ,SMALL   ,YES     ,A       ,100
13,63494,1.7,0.25,1,JAX     ,LARGE   ,YES     ,A       ,100
14,38101,3.6,0.25,1,JAX     ,LARGE   ,YES     ,A       ,100
15,37772,3.6,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,100
16,31344,3.6,3,12.5,JAX     ,LARGE   ,YES     ,A       ,100
17,25713,3.6,7.5,31.3,JAX     ,LARGE   ,YES     ,A       ,100
18,32462,2.3,7.5,31.3,JAX     ,SMALL   ,YES     ,A       ,100
19,34588,2.1,7.5,31.3,JAX     ,LARGE   ,YES     ,A       ,100
20,55274,3.6,0.25,1,MIA     ,LARGE   ,YES     ,A       ,150
21,38664,3.6,7.5,31.3,MIA     ,LARGE   ,YES     ,A       ,150
22,38664,3.6,15,62.5,MIA     ,LARGE   ,YES     ,A       ,150
23,32611,3.6,24,100,MIA     ,LARGE   ,YES     ,A       ,150
24,260135,0.25,3,12.5,MIA     ,LARGE   ,YES     ,A       ,150
25,67438,2.6,0.25,1,MIA     ,LARGE   ,YES     ,A       ,150
26,46128,2.6,7.5,31.3,MIA     ,LARGE   ,YES     ,A       ,150
27,46128,2.6,15,62.5,MIA     ,LARGE   ,YES     ,A       ,150
28,63063,1.5,15,62.5,MIA     ,SMALL   ,YES     ,A       ,150
29,52928,1.5,24,100,MIA     ,SMALL   ,YES     ,A       ,150
30,47086,4.8,0.25,1,MIA     ,LARGE   ,YES     ,A       ,150
31,47086,4.8,0.75,3.1,MIA     ,LARGE   ,YES     ,A       ,150
32,28259,4.8,24,100,MIA     ,LARGE   ,YES     ,A       ,150
33,25000,6,24,100,MIA     ,SMALL   ,YES     ,A       ,150
34,56306,1.8,7.5,31.3,MIA     ,SMALL   ,YES     ,A       ,150
35,57432,3.4,0.25,1,JAX     ,LARGE   ,YES     ,A       ,150
36,61768,3,0.25,1,JAX     ,SMALL   ,YES     ,A       ,150
37,85950,1.7,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,150
38,61768,3,0.25,1,JAX     ,SMALL   ,YES     ,A       ,150
39,60304,3,0.75,3.1,JAX     ,SMALL   ,YES     ,A       ,150
40,42342,3,7.5,31.3,JAX     ,SMALL   ,YES     ,A       ,150
41,73002,2.3,0.25,1,JAX     ,SMALL   ,YES     ,A       ,150
42,59636,2.3,3,12.5,JAX     ,SMALL   ,YES     ,A       ,150
43,48913,2.3,15,62.5,JAX     ,SMALL   ,YES     ,A       ,150
44,77220,2.1,0.25,1,JAX     ,LARGE   ,YES     ,A       ,150
45,74887,2.1,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,150
46,51802,2.1,15,62.5,JAX     ,LARGE   ,YES     ,A       ,150
47,347973,0.25,3,12.5,MIA     ,LARGE   ,YES     ,A       ,200
48,87773,2.6,0.25,1,MIA     ,LARGE   ,YES     ,A       ,200
49,125000,1.5,0.25,1,MIA     ,SMALL   ,YES     ,A       ,200
50,44658,4.8,15,62.5,MIA     ,LARGE   ,YES     ,A       ,200
51,37690,4.8,24,100,MIA     ,LARGE   ,YES     ,A       ,200
52,107170,1.8,0.75,3.1,MIA     ,SMALL   ,YES     ,A       ,200
53,74821,3.4,0.25,1,JAX     ,LARGE   ,YES     ,A       ,200
54,74275,3.4,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,200
55,64438,3.4,3,12.5,JAX     ,LARGE   ,YES     ,A       ,200
56,53011,3.4,15,62.5,JAX     ,LARGE   ,YES     ,A       ,200
57,44764,3.4,24,100,JAX     ,LARGE   ,YES     ,A       ,200
58,47579,3,24,100,JAX     ,SMALL   ,YES     ,A       ,200
